"id_attempts","word_sent","position_array","right_letters_in_wrong_positions","score","try_datetime","id_game"
369,"punto","[False, False, False, False, True]","n",0.4,"2022-07-18T01:35:20.021278","62d4b8d71251332fdf164c13"
370,"salvo","[False, False, False, False, True]","a",0.4,"2022-07-18T01:35:20.946007","62d4b8d71251332fdf164c13"
371,"dicho","[False, False, False, False, True]","",0.2,"2022-07-18T01:35:21.896163","62d4b8d71251332fdf164c13"
372,"grano","[True, True, True, True, True]","",1,"2022-07-18T01:35:22.756022","62d4b8d71251332fdf164c13"
373,"reducia","[False, False, False, False, True, True, True]","",0.42857142857142855,"2022-07-18T01:35:25.988566","62d4b8dc1251332fdf164c19"
374,"policia","[False, True, False, True, True, True, True]","",0.7142857142857143,"2022-07-18T01:35:27.002308","62d4b8dc1251332fdf164c19"
375,"noticia","[True, True, True, True, True, True, True]","",1,"2022-07-18T01:35:27.876165","62d4b8dc1251332fdf164c19"
376,"averiguo","[False, False, False, False, True, False, False, False]","a_o",0.125,"2022-07-18T01:35:30.518822","62d4b8e11251332fdf164c1e"
377,"ocasiona","[False, False, False, False, True, False, False, True]","o_a",0.5,"2022-07-18T01:35:31.518764","62d4b8e11251332fdf164c1e"
378,"lokaiata","[True, True, True, True, True, True, True, True]","",1,"2022-07-18T01:35:32.558547","62d4b8e11251332fdf164c1e"
379,"progresivamente","[True, True, True, False, False, True, True, False, False, False, False, False, False, False, False]","r_i_a_t",0.4666666666666667,"2022-07-18T01:35:35.202462","62d4b8e61251332fdf164c23"
380,"protoescrituras","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","",1,"2022-07-18T01:35:36.258821","62d4b8e61251332fdf164c23"
381,"cortas","[False, False, False, False, False, False]","o_r_a_s",0.16666666666666666,"2022-07-18T01:35:39.016191","62d4b8ea1251332fdf164c27"
382,"suplir","[True, False, False, False, False, False]","r",0.3333333333333333,"2022-07-18T01:35:39.962265","62d4b8ea1251332fdf164c27"
383,"sangre","[True, True, True, False, True, False]","",0.6666666666666666,"2022-07-18T01:35:40.856189","62d4b8ea1251332fdf164c27"
384,"sandro","[True, True, True, True, True, True]","",1,"2022-07-18T01:35:41.696187","62d4b8ea1251332fdf164c27"
385,"cortas","[False, True, False, True, False, True]","",0.3333333333333333,"2022-07-18T01:35:44.636206","62d4b8ef1251332fdf164c2d"
386,"montes","[False, True, False, True, True, True]","",0.6666666666666666,"2022-07-18T01:35:45.596371","62d4b8ef1251332fdf164c2d"
387,"postes","[True, True, True, True, True, True]","",1,"2022-07-18T01:35:46.501535","62d4b8ef1251332fdf164c2d"
388,"migraciones","[False, False, False, False, False, False, False, False, False, False, False]","m_i_r_a_i",0.2727272727272727,"2022-07-18T01:35:49.662052","62d4b8f41251332fdf164c32"
389,"trivialidad","[False, False, False, False, False, False, True, True, False, True, False]","t_r_i_a",0.36363636363636365,"2022-07-18T01:35:50.698969","62d4b8f41251332fdf164c32"
390,"paramilitar","[True, True, True, True, True, True, True, True, True, True, True]","",1,"2022-07-18T01:35:51.618996","62d4b8f41251332fdf164c32"
391,"computadores","[False, False, True, False, False, False, True, False, False, False, False, True]","c_o_u_t",0.25,"2022-07-18T01:35:54.382697","62d4b8f91251332fdf164c37"
392,"numismaticos","[True, True, True, True, True, True, True, True, True, True, True, True]","",1,"2022-07-18T01:35:55.476579","62d4b8f91251332fdf164c37"
393,"reproductivas","[False, True, False, False, False, False, False, False, False, False, False, False, True]","r_r_o_d_a",0.38461538461538464,"2022-07-18T01:35:58.116573","62d4b8fd1251332fdf164c3b"
394,"desarrollados","[True, True, True, True, True, True, True, True, True, True, True, True, True]","",1,"2022-07-18T01:35:59.178818","62d4b8fd1251332fdf164c3b"
